"DV","0000001","20240212|083706","20240212_1521205_091775_078908","R05_3_Qatar TotalEnergies Open - Doha (QAT)","Dolehide/Krawczyk","Melichar-Martinez/Perez","|K|0.568905|EK|G||OL1|1.79344|EOL1|OL2|2.43368|EOL2|OH1|176|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.77584|ENAOL1|NAOL2|2.6216|ENAOL2|NAVE1|-3.3|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/qatar/wta-doha-doubles/dolehide-caroline-krawczyk-desirae-melichar-nicole-perez-ellen-GOpXSKG9/","","2.23","1.65","","","2.22","1.62","2.23","1.65","","","","","","",""
"DV","0000002","20240212|083709","20240212_1521205_079446_091221","R05_3_Qatar TotalEnergies Open - Doha (QAT)","Kato/Sutjiadi","Bucsa/Niculescu","|K|0.518499|EK|G||OL1|2.02457|EOL1|OL2|2.18192|EOL2|OH1|3.281|EOH1|OH2|3.536|EOH2|EG|NA||NAOL1|2.1809|ENAOL1|NAOL2|2.3504|ENAOL2|NAVE1|-8.5|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/qatar/wta-doha-doubles/kato-miyu-sutjiadi-aldila-bucsa-cristina-niculescu-monica-xxfM6Ua7/","","1.76","2.06","","","1.75","2.05","1.76","2.06","","","","","","",""
"DV","0000003","20240212|083714","20240212_1521205_091463_091864","R05_3_Qatar TotalEnergies Open - Doha (QAT)","Krejcikova/Siegemund","Bouzkova/Vondrousova","|K|0.592399|EK|G||OL1|1.72211|EOL1|OL2|2.58054|EOL2|OH1|169|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.70521|ENAOL1|NAOL2|2.7798|ENAOL2|NAVE1|-3.3|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/qatar/wta-doha-doubles/krejcikova-barbora-siegemund-laura-bouzkova-marie-vondrousova-marketa-ETgI3eUE/","","1.52","2.55","","","1.5","2.5","1.52","2.55","","","","","","",""
"DM","0000004","20240212|083718","20240212_1936304_085718_093699","R04_2_Delray Beach Open - Delray Beach (USA)","Hidalgo/Rodriguez","Godsick/Quinn","|K|0.69572|EK|G||OL1|1.5624|EOL1|OL2|3.40515|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6344|ENAOL1|NAOL2|3.5861|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-delray-beach-doubles/hidalgo-diego-rodriguez-cristian-godsick-nicholas-quinn-ethan-l2xaS6XB/","","1.44","2.81","","","","","1.44","2.81","","","","","","",""
"SM","0000005","20240212|083732","20240212_1936104_054207_040434","R04_2_ABN AMRO Open - Rotterdam (NED)","Cressy","Auger-Aliassime","|K|0.214577|EK|G||OL1|5.12299|EOL1|OL2|1.408|EOL2|OH1|1|EOH1|OH2|1.728|EOH2|EG|NA||NAOL1|5.12299|ENAOL1|NAOL2|1.4208|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.23|1.45|AH-5|1000|1000|1.23|1.45|AH-4|1000|1000|1.292|1.523|AH-3.5|1000|1000|1.292|1.523|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1.998|2.884|AH4|1000|1000|2.871|4.145|AH4.5|1000|1000|2.871|4.145|AH5|1000|1000|4.788|6.913|AH5.5|1000|1000|4.788|6.913||EAH||AHS||K-1.5|13.1486|1|1.51|7|EK-1.5||K21|7.98725|1|3.72003|7|EK21||K1.5|2.10209|7|2.21563|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/cressy-maxime-auger-aliassime-felix-6FWaNqMt/#ah;2;3.50;2","3.5","1.58","2.46","","","","","1.58","2.46","","","","","","",""
"SM","0000005","20240212|083730","20240212_1936104_054207_040434","R04_2_ABN AMRO Open - Rotterdam (NED)","Cressy","Auger-Aliassime","|K|0.214577|EK|G||OL1|5.12299|EOL1|OL2|1.408|EOL2|OH1|1|EOH1|OH2|1.728|EOH2|EG|NA||NAOL1|5.12299|ENAOL1|NAOL2|1.4208|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.23|1.45|AH-5|1000|1000|1.23|1.45|AH-4|1000|1000|1.292|1.523|AH-3.5|1000|1000|1.292|1.523|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1.998|2.884|AH4|1000|1000|2.871|4.145|AH4.5|1000|1000|2.871|4.145|AH5|1000|1000|4.788|6.913|AH5.5|1000|1000|4.788|6.913||EAH||AHS||K-1.5|13.1486|1|1.51|7|EK-1.5||K21|7.98725|1|3.72003|7|EK21||K1.5|2.10209|7|2.21563|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/cressy-maxime-auger-aliassime-felix-6FWaNqMt/#ah;2;2.50;2","2.5","2.01","1.85","","","2.0","1.78","2.01","1.85","","","","","","",""
"SM","0000005","20240212|083737","20240212_1936104_054207_040434","R04_2_ABN AMRO Open - Rotterdam (NED)","Cressy","Auger-Aliassime","|K|0.214577|EK|G||OL1|5.12299|EOL1|OL2|1.408|EOL2|OH1|1|EOH1|OH2|1.728|EOH2|EG|NA||NAOL1|5.12299|ENAOL1|NAOL2|1.4208|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.23|1.45|AH-5|1000|1000|1.23|1.45|AH-4|1000|1000|1.292|1.523|AH-3.5|1000|1000|1.292|1.523|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1.998|2.884|AH4|1000|1000|2.871|4.145|AH4.5|1000|1000|2.871|4.145|AH5|1000|1000|4.788|6.913|AH5.5|1000|1000|4.788|6.913||EAH||AHS||K-1.5|13.1486|1|1.51|7|EK-1.5||K21|7.98725|1|3.72003|7|EK21||K1.5|2.10209|7|2.21563|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/cressy-maxime-auger-aliassime-felix-6FWaNqMt/#ah;2;1.50;1","1.5","1.72","2.19","","","1.72","2.1","1.72","2.19","","","","","","",""
"SM","0000005","20240212|083734","20240212_1936104_054207_040434","R04_2_ABN AMRO Open - Rotterdam (NED)","Cressy","Auger-Aliassime","|K|0.214577|EK|G||OL1|5.12299|EOL1|OL2|1.408|EOL2|OH1|1|EOH1|OH2|1.728|EOH2|EG|NA||NAOL1|5.12299|ENAOL1|NAOL2|1.4208|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.23|1.45|AH-5|1000|1000|1.23|1.45|AH-4|1000|1000|1.292|1.523|AH-3.5|1000|1000|1.292|1.523|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1.998|2.884|AH4|1000|1000|2.871|4.145|AH4.5|1000|1000|2.871|4.145|AH5|1000|1000|4.788|6.913|AH5.5|1000|1000|4.788|6.913||EAH||AHS||K-1.5|13.1486|1|1.51|7|EK-1.5||K21|7.98725|1|3.72003|7|EK21||K1.5|2.10209|7|2.21563|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/cressy-maxime-auger-aliassime-felix-6FWaNqMt/#ah;2;-1.50;1","-1.5","6.72","1.13","","","6.1","1.13","6.72","1.13","","","","","","",""
"SM","0000005","20240212|083722","20240212_1936104_054207_040434","R04_2_ABN AMRO Open - Rotterdam (NED)","Cressy","Auger-Aliassime","|K|0.214577|EK|G||OL1|5.12299|EOL1|OL2|1.408|EOL2|OH1|1|EOH1|OH2|1.728|EOH2|EG|NA||NAOL1|5.12299|ENAOL1|NAOL2|1.4208|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.23|1.45|AH-5|1000|1000|1.23|1.45|AH-4|1000|1000|1.292|1.523|AH-3.5|1000|1000|1.292|1.523|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1.998|2.884|AH4|1000|1000|2.871|4.145|AH4.5|1000|1000|2.871|4.145|AH5|1000|1000|4.788|6.913|AH5.5|1000|1000|4.788|6.913||EAH||AHS||K-1.5|13.1486|1|1.51|7|EK-1.5||K21|7.98725|1|3.72003|7|EK21||K1.5|2.10209|7|2.21563|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/cressy-maxime-auger-aliassime-felix-6FWaNqMt/","","3.12","1.4","","","3.1","1.37","3.12","1.4","","","","","","",""
"SM","0000006","20240212|083749","20240212_1936104_037741_029372","R04_2_ABN AMRO Open - Rotterdam (NED)","Bergs","Rublev","|K|0.122749|EK|G||OL1|8.94055|EOL1|OL2|1.254|EOL2|OH1|1|EOH1|OH2|1.539|EOH2|EG|NA||NAOL1|8.94055|ENAOL1|NAOL2|1.2654|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|12300|14500|1000|1000|AH-5|12300|14500|1000|1000|AH-4|12300|14500|1000|1000|AH-3.5|90.699|106.921|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|2.81|4.057|1000|1000|AH4|2.81|4.057|1000|1000|AH4.5|1.962|2.833|1000|1000|AH5|1.962|2.833|1000|1000|AH5.5|1.509|2.178|1000|1000||EAH||AHS||K-1.5|28.1401|1|1.51|7|EK-1.5||K21|8.48324|1|3.97115|7|EK21||K1.5|2.46699|7|1.93996|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/bergs-zizou-rublev-andrey-lvM4M3ym/#ah;2;4.50;2","4.5","1.76","2.13","","","","","1.76","2.13","","","","","","",""
"SM","0000006","20240212|083751","20240212_1936104_037741_029372","R04_2_ABN AMRO Open - Rotterdam (NED)","Bergs","Rublev","|K|0.122749|EK|G||OL1|8.94055|EOL1|OL2|1.254|EOL2|OH1|1|EOH1|OH2|1.539|EOH2|EG|NA||NAOL1|8.94055|ENAOL1|NAOL2|1.2654|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|12300|14500|1000|1000|AH-5|12300|14500|1000|1000|AH-4|12300|14500|1000|1000|AH-3.5|90.699|106.921|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|2.81|4.057|1000|1000|AH4|2.81|4.057|1000|1000|AH4.5|1.962|2.833|1000|1000|AH5|1.962|2.833|1000|1000|AH5.5|1.509|2.178|1000|1000||EAH||AHS||K-1.5|28.1401|1|1.51|7|EK-1.5||K21|8.48324|1|3.97115|7|EK21||K1.5|2.46699|7|1.93996|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/bergs-zizou-rublev-andrey-lvM4M3ym/#ah;2;3.50;2","3.5","2.32","1.65","","","2.18","1.65","2.32","1.65","","","","","","",""
