"CDM","0000025","20240620|130802","20240617_1977509_112004_108862","R09_1_BOL_Santa Cruz de la Sierra 2 Challenger","Farjat/Olivo","Hudd/Stevenson","|K|0.481959|EK|G||OL1|2.11536|EOL1|OL2|1.97298|EOL2|OH1|208|EOH1|OH2|194|EOH2|EG|NA||NAOL1|2.25264|ENAOL1|NAOL2|2.10102|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/bolivia/santa-cruz-2-challenger-men-doubles/farjat-tomas-olivo-renzo-hudd-emile-stevenson-david-d4uJ7zXI/","","","","2.0","1.72","","","","","2.0","1.74","","","","","","",""
"CDM","0000026","20240620|130806","20240617_1977509_112005_112006","R09_1_BOL_Santa Cruz de la Sierra 2 Challenger","Dellien Velasco/Dellien","Reynolds/Soto","|K|0.311386|EK|G||OL1|3.27474|EOL1|OL2|1.47007|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.48726|ENAOL1|NAOL2|1.61038|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/bolivia/santa-cruz-2-challenger-men-doubles/dellien-velasco-murkel-alejandro-dellien-iker-reynolds-finn-soto-matias-lvxB9d26/","","","","3.9","1.21","","","","","3.9","1.23","","","","","","",""
"CDM","0000027","20240620|130810","20240617_1977509_110659_088789","R09_1_BOL_Santa Cruz de la Sierra 2 Challenger","Habib/Hilderbrand","Aboian/Aboian","|K|0.573942|EK|G||OL1|1.76207|EOL1|OL2|2.38995|EOL2|OH1|2.625|EOH1|OH2|235|EOH2|EG|NA||NAOL1|1.93025|ENAOL1|NAOL2|2.54505|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/bolivia/santa-cruz-2-challenger-men-doubles/habib-hady-hilderbrand-trey-aboian-leonardo-aboian-valerio-xQ1d41QQ/","","","","","","","","","","1.85","1.85","","","","","","",""
"CDM","0000028","20240620|130814","20240617_1977409_111996_111998","R09_1_FRA_Blois Challenger","Bertola/Geerts","Denolly/Gea","|K|0.562398|EK|G||OL1|1.79228|EOL1|OL2|2.32893|EOL2|OH1|1|EOH1|OH2|229|EOH2|EG|NA||NAOL1|1.96334|ENAOL1|NAOL2|2.48007|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/blois-challenger-men-doubles/bertola-remy-geerts-michael-denolly-corentin-gea-arthur-dQpxHOPM/","","","","","","","","","","1.62","2.21","","","","","","",""
"SM","0000029","20240620|130825","20240617_1938809_022433_029932","R09_2_GBR_cinch Championships - London","Thompson","Fritz","|K|0.363457|EK|G||OL1|3.0222|EOL1|OL2|1.738|EOL2|OH1|1|EOH1|OH2|2.291|EOH2|EG|NA||NAOL1|3.02772|ENAOL1|NAOL2|1.7538|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|15.871|21.093|1.172|1.557|AH-5|15.871|21.093|1.251|1.663|AH-4|8.533|11.341|1.383|1.838|AH-3.5|5.164|6.863|1.383|1.838|AH-3|5.164|6.863|1.467|1.95|AH-2.5|4.257|5.658|1.467|1.95|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.318|3.073|2.072|2.746|AH3|2.318|3.073|2.703|3.583|AH3.5|1.838|2.436|2.703|3.583|AH4|1.838|2.436|3.867|5.125|AH4.5|1.526|2.022|3.867|5.125|AH5|1.526|2.022|6.351|8.418|AH5.5|1.322|1.752|6.351|8.418||EAH||AHS||K-1.5|5.93363|1|1.52|7|EK-1.5||K21|6.62669|1|5.14114|7|EK21||K1.5|1.88506|7|2.50807|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/united-kingdom/atp-london/thompson-jordan-fritz-taylor-6PNTgwMs/#ah;2;2.50;2","2.5","2.07","1.81","","","","","2.08","1.72","2.08","1.81","","","","","","",""
"SM","0000029","20240620|130827","20240617_1938809_022433_029932","R09_2_GBR_cinch Championships - London","Thompson","Fritz","|K|0.363457|EK|G||OL1|3.0222|EOL1|OL2|1.738|EOL2|OH1|1|EOH1|OH2|2.291|EOH2|EG|NA||NAOL1|3.02772|ENAOL1|NAOL2|1.7538|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|15.871|21.093|1.172|1.557|AH-5|15.871|21.093|1.251|1.663|AH-4|8.533|11.341|1.383|1.838|AH-3.5|5.164|6.863|1.383|1.838|AH-3|5.164|6.863|1.467|1.95|AH-2.5|4.257|5.658|1.467|1.95|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.318|3.073|2.072|2.746|AH3|2.318|3.073|2.703|3.583|AH3.5|1.838|2.436|2.703|3.583|AH4|1.838|2.436|3.867|5.125|AH4.5|1.526|2.022|3.867|5.125|AH5|1.526|2.022|6.351|8.418|AH5.5|1.322|1.752|6.351|8.418||EAH||AHS||K-1.5|5.93363|1|1.52|7|EK-1.5||K21|6.62669|1|5.14114|7|EK21||K1.5|1.88506|7|2.50807|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/united-kingdom/atp-london/thompson-jordan-fritz-taylor-6PNTgwMs/#ah;2;1.50;2","1.5","2.47","1.59","","","","","2.43","1.53","2.47","1.59","","","","","","",""
"SM","0000029","20240620|130832","20240617_1938809_022433_029932","R09_2_GBR_cinch Championships - London","Thompson","Fritz","|K|0.363457|EK|G||OL1|3.0222|EOL1|OL2|1.738|EOL2|OH1|1|EOH1|OH2|2.291|EOH2|EG|NA||NAOL1|3.02772|ENAOL1|NAOL2|1.7538|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|15.871|21.093|1.172|1.557|AH-5|15.871|21.093|1.251|1.663|AH-4|8.533|11.341|1.383|1.838|AH-3.5|5.164|6.863|1.383|1.838|AH-3|5.164|6.863|1.467|1.95|AH-2.5|4.257|5.658|1.467|1.95|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.318|3.073|2.072|2.746|AH3|2.318|3.073|2.703|3.583|AH3.5|1.838|2.436|2.703|3.583|AH4|1.838|2.436|3.867|5.125|AH4.5|1.526|2.022|3.867|5.125|AH5|1.526|2.022|6.351|8.418|AH5.5|1.322|1.752|6.351|8.418||EAH||AHS||K-1.5|5.93363|1|1.52|7|EK-1.5||K21|6.62669|1|5.14114|7|EK21||K1.5|1.88506|7|2.50807|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/united-kingdom/atp-london/thompson-jordan-fritz-taylor-6PNTgwMs/#ah;2;1.50;1","1.5","1.73","2.19","","","","","1.66","2.2","1.73","2.2","","","","","","",""
"SM","0000029","20240620|130829","20240617_1938809_022433_029932","R09_2_GBR_cinch Championships - London","Thompson","Fritz","|K|0.363457|EK|G||OL1|3.0222|EOL1|OL2|1.738|EOL2|OH1|1|EOH1|OH2|2.291|EOH2|EG|NA||NAOL1|3.02772|ENAOL1|NAOL2|1.7538|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|15.871|21.093|1.172|1.557|AH-5|15.871|21.093|1.251|1.663|AH-4|8.533|11.341|1.383|1.838|AH-3.5|5.164|6.863|1.383|1.838|AH-3|5.164|6.863|1.467|1.95|AH-2.5|4.257|5.658|1.467|1.95|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.318|3.073|2.072|2.746|AH3|2.318|3.073|2.703|3.583|AH3.5|1.838|2.436|2.703|3.583|AH4|1.838|2.436|3.867|5.125|AH4.5|1.526|2.022|3.867|5.125|AH5|1.526|2.022|6.351|8.418|AH5.5|1.322|1.752|6.351|8.418||EAH||AHS||K-1.5|5.93363|1|1.52|7|EK-1.5||K21|6.62669|1|5.14114|7|EK21||K1.5|1.88506|7|2.50807|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/united-kingdom/atp-london/thompson-jordan-fritz-taylor-6PNTgwMs/#ah;2;-1.50;1","-1.5","5.2","1.19","","","","","5.5","1.16","5.5","1.19","","","","","","",""
"SM","0000029","20240620|130818","20240617_1938809_022433_029932","R09_2_GBR_cinch Championships - London","Thompson","Fritz","|K|0.363457|EK|G||OL1|3.0222|EOL1|OL2|1.738|EOL2|OH1|1|EOH1|OH2|2.291|EOH2|EG|NA||NAOL1|3.02772|ENAOL1|NAOL2|1.7538|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|15.871|21.093|1.172|1.557|AH-5|15.871|21.093|1.251|1.663|AH-4|8.533|11.341|1.383|1.838|AH-3.5|5.164|6.863|1.383|1.838|AH-3|5.164|6.863|1.467|1.95|AH-2.5|4.257|5.658|1.467|1.95|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.318|3.073|2.072|2.746|AH3|2.318|3.073|2.703|3.583|AH3.5|1.838|2.436|2.703|3.583|AH4|1.838|2.436|3.867|5.125|AH4.5|1.526|2.022|3.867|5.125|AH5|1.526|2.022|6.351|8.418|AH5.5|1.322|1.752|6.351|8.418||EAH||AHS||K-1.5|5.93363|1|1.52|7|EK-1.5||K21|6.62669|1|5.14114|7|EK21||K1.5|1.88506|7|2.50807|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-london/thompson-jordan-fritz-taylor-6PNTgwMs/","","2.87","1.47","","","","","2.88","1.42","2.88","1.47","","","","","","",""
"SM","0000030","20240620|130846","20240617_1938709_083135_024008","R09_2_GER_Terra Wortmann Open - Halle","Fils","Zverev","|K|0.22505|EK|G||OL1|4.87275|EOL1|OL2|1.43|EOL2|OH1|1|EOH1|OH2|1.885|EOH2|EG|NA||NAOL1|4.88165|ENAOL1|NAOL2|1.443|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|388.831|516.779|1.094|1.454|AH-5|388.831|516.779|1.129|1.5|AH-4|32.499|43.194|1.209|1.606|AH-3.5|11.216|14.906|1.209|1.606|AH-3|11.216|14.906|1.267|1.685|AH-2.5|7.837|10.415|1.267|1.685|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|3.155|4.182|1.675|2.22|AH3|3.155|4.182|2.061|2.732|AH3.5|2.332|3.09|2.061|2.732|AH4|2.332|3.09|2.86|3.791|AH4.5|1.772|2.348|2.86|3.791|AH5|1.772|2.348|4.466|5.919|AH5.5|1.449|1.92|4.466|5.919||EAH||AHS||K-1.5|10.4327|1|1.52|7|EK-1.5||K21|7.48052|1|4.60994|7|EK21||K1.5|2.18213|7|2.15145|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/atp-halle/arthur-fils-zverev-alexander-YZax0B06/#ah;2;3.50;2","3.5","1.88","2.0","1.8","1.9","","","1.91","1.87","1.91","2.0","","","","","","",""
"SM","0000030","20240620|130843","20240617_1938709_083135_024008","R09_2_GER_Terra Wortmann Open - Halle","Fils","Zverev","|K|0.22505|EK|G||OL1|4.87275|EOL1|OL2|1.43|EOL2|OH1|1|EOH1|OH2|1.885|EOH2|EG|NA||NAOL1|4.88165|ENAOL1|NAOL2|1.443|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|388.831|516.779|1.094|1.454|AH-5|388.831|516.779|1.129|1.5|AH-4|32.499|43.194|1.209|1.606|AH-3.5|11.216|14.906|1.209|1.606|AH-3|11.216|14.906|1.267|1.685|AH-2.5|7.837|10.415|1.267|1.685|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|3.155|4.182|1.675|2.22|AH3|3.155|4.182|2.061|2.732|AH3.5|2.332|3.09|2.061|2.732|AH4|2.332|3.09|2.86|3.791|AH4.5|1.772|2.348|2.86|3.791|AH5|1.772|2.348|4.466|5.919|AH5.5|1.449|1.92|4.466|5.919||EAH||AHS||K-1.5|10.4327|1|1.52|7|EK-1.5||K21|7.48052|1|4.60994|7|EK21||K1.5|2.18213|7|2.15145|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/atp-halle/arthur-fils-zverev-alexander-YZax0B06/#ah;2;2.50;2","2.5","2.53","1.57","2.35","1.53","","","2.38","1.56","2.53","1.57","","","","","","",""
